Date,Value,MovingAvg,RMA,RMA_Pred,PercAvg_Pred,ES-0.3,ES-0.6,ES-0.9,MonteCarlo_Pred,ARIMA-OPT,SARIMA-OPT,ARIMA-UNOPT,SARIMA-UNOPT,LINREG,SVR-UNOPT,SVR-OPT
2011-07-01,392.72,390.86833333333334,100.42427329081367,391.264236601607,407.1246159564055,392.9398349716794,393.19368453207255,392.8465577863372,392.90030880268455,392.14485642228664,391.95483519108257,393.29162847734983,391.8968262874827,391.9679277054414,407.0223707131703,392.61945131709797
2011-08-01,390.33,391.0608333333334,99.77505687482426,389.25160317626853,405.0451296499148,392.1568844801755,391.475473812829,390.58165577863366,391.36388397362464,390.65442829417424,390.7023272862118,391.8510437542272,390.4922268234438,392.1769412556154,407.02456103846197,392.779442824672
2011-09-01,389.28,391.21,99.45898990157063,387.9295999869222,403.7083646468646,391.2938191361228,390.1581895251316,389.4101655778633,389.7186789656014,388.8427725895046,388.835332471,388.5029162931578,388.79756495186757,392.3859548057894,407.02237071317205,392.9412396606899
2011-10-01,389.19,391.3975,99.39874811909256,388.17273505355115,403.9837182360216,390.66267339528594,389.57727581005264,389.21201655778634,389.80549090071304,389.1410329026073,389.5170307350503,388.9656018837787,389.47322326610913,392.5882259833772,407.02214895068914,393.09946628462114
2011-11-01,390.48,391.54416666666657,99.69405166654613,389.6532708410503,405.5725017783003,390.60787137670013,390.11891032402104,390.35320165577866,391.29680829708025,390.0905711578777,390.64842065230954,389.2163604535575,390.68235702092545,392.7972395335512,407.0221489475212,393.26460304009674
2011-12-01,392.06,391.6783333333333,100.05337915575869,390.9591538562368,407.01794144244633,391.04350996369004,391.2835641296084,391.88932016557783,392.61029796737193,391.7488495230199,391.48652511674686,391.61571618642495,391.6433626141422,392.99951071113895,407.0223683552551,393.42593467454253
2012-01-01,393.31,391.85083333333336,100.33375708436614,392.1094544383401,407.03744287702943,391.72345697458303,392.49942565184335,393.16793201655776,394.10495038941133,393.10899534994974,393.48113401819603,393.07824412732174,393.1915774571893,393.20852426131296,407.02430718560777,393.59415672220985
2012-02-01,394.04,392.0016666666667,100.47747454850287,392.85182989905564,407.90250651366676,392.41841988220807,393.42377026073734,393.9527932016558,394.78419263375207,394.0892847294503,394.28870555073746,394.0751212010077,394.2614287218809,393.41753781148697,407.0196273359666,393.7638595614837
2012-03-01,394.59,392.1675,100.57946386847358,393.5362561591077,408.65756205778365,393.06989391754564,394.1235081042949,394.52627932016554,395.3391200307842,394.79915844473754,394.9021636076609,394.4292395009873,394.9629738737892,393.6130666164885,407.01940605082,393.92390730178573
2012-04-01,396.38,392.31666666666666,100.97267096040115,394.9297719389567,410.14767167465,394.0629257422819,395.477403241718,396.19462793201654,395.942207757323,395.3572640631758,395.5299486118458,394.94651452524175,395.7217879917372,393.8220801666625,407.0218927430867,394.0963290678993
2012-05-01,396.93,392.56166666666667,101.05871519924638,395.68951217249776,409.56412874750805,394.92304801959733,396.3489612966872,396.8564627932017,396.8870487318835,396.84303576862675,397.0328068488013,397.8478272310169,396.91166471436,394.0243513442502,407.02214375680745,394.2644621028003
2012-06-01,395.91,392.7716666666667,100.75712267932356,395.1109919818444,408.94341641940844,395.2191336137181,396.08558451867486,396.0046462793202,396.56566227931006,396.30122056095877,396.30715480090106,396.9221191702098,396.22443023146445,394.2333648944242,407.02214894506653,394.4394753903416
2012-07-01,394.56,392.935,100.37438574027043,393.33299655651933,407.1246159564055,395.0213935296026,395.1702338074699,394.704464627932,395.2123247186091,394.05199553258376,394.23581053441694,395.0076125991527,394.4288682520174,394.43563607201196,407.0223707131711,394.6100432468779
2012-08-01,392.59,393.08833333333337,99.82539857437088,391.2697230138212,405.0451296499148,394.2919754707218,393.62209352298794,392.80144646279314,392.86649787718494,392.38041295773684,392.4083348044512,393.6670068135147,392.4000670821313,394.64464962218597,407.02456103846197,394.7875045650442
2012-09-01,391.32,393.27666666666664,99.45947777758951,389.97893710332085,403.7083646468646,393.40038282950525,392.24083740919514,391.4681446462793,391.7065092122207,391.1510543148521,391.2434754130865,391.14370465623796,391.22860080710643,394.85366317236,407.02237071317205,394.9661644570389
2012-10-01,391.27,393.44666666666666,99.40297749098114,390.20501842168864,403.9837182360216,392.7612679806536,391.65833496367804,391.2898144646279,391.8064059689217,391.2251237573739,391.4651505606232,390.68174763947883,391.41102879085946,395.05593434994773,407.0221489506886,395.1401780404521
2012-11-01,393.2,393.62000000000006,99.835807505459,391.7190792910658,405.5725017783003,392.8928875864575,392.5833339854712,393.00898144646277,393.07584555041933,392.2367336865772,392.5920379674255,391.4412651086064,392.66956647655473,395.26494790012174,407.02214894344127,395.32112454865904
2012-12-01,394.57,393.84666666666664,100.13048066369615,393.1235058081657,407.01794144244633,393.3960213105202,393.7753335941885,394.4138981446463,394.6265932391714,394.54114548688324,394.47482152456587,394.85463533529844,394.31440495481786,395.4672190777095,407.0223655168347,395.4973123862931
2013-01-01,395.78,394.05583333333334,100.3851080289317,394.31590973583604,407.03744287702943,394.1112149173641,394.9781334376754,395.6433898144646,395.92566734718577,395.5678764568446,395.92566111325937,395.2265961408554,395.66131982343694,395.6762326278835,407.0240228170408,395.6804721004349
