Date,Value,SVM
2016-12-01,404.64,405.5315604331418
2017-01-01,406.36,405.74036862811437
2017-02-01,406.65,405.9491768230867
2017-03-01,407.53,406.1377777733831
2017-04-01,409.22,406.34658596835635
2017-05-01,409.89,406.54865841510747
2017-06-01,409.08,406.7574666100807
2017-07-01,407.33,406.9595390568282
2017-08-01,405.32,407.1683472517978
2017-09-01,403.57,407.37715544677354
2017-10-01,403.82,407.57922789351625
2017-11-01,405.31,407.788036088492
2017-12-01,407.0,407.9901085352424
2018-01-01,408.15,408.1989167302084
2018-02-01,408.52,408.4077249251839
2018-03-01,409.59,408.5963258754828
2018-04-01,410.45,408.8051340704554
2018-05-01,411.44,409.00720651720263
2018-06-01,410.99,409.21601471218406
2018-07-01,408.9,409.41808715892245
2018-08-01,407.16,409.6268953538893
2018-09-01,405.71,409.83570354887166
2018-10-01,406.19,410.0377759956189
2018-11-01,408.21,410.24658419059716
2018-12-01,409.27,410.4486566373433
2019-01-01,411.03,410.6574648323106
2019-02-01,411.96,410.86627302728385
2019-03-01,412.18,411.0548739775866
2019-04-01,413.54,411.2636821725628
2019-05-01,414.86,411.46575461930166
2019-06-01,414.15,411.6745628142806
2019-07-01,411.96,411.8766352610276
2019-08-01,410.17,412.0854434559995
2019-09-01,408.76,412.29425165097456
2019-10-01,408.74,412.4963240977225
2019-11-01,410.47,412.7051322926921
2019-12-01,411.97,412.9072047394432
2020-01-01,413.59,413.11601293441464
2020-02-01,414.32,413.32482112938607
2020-03-01,414.72,413.5201578279169
2020-04-01,416.42,413.7289660228856
2020-05-01,417.28,413.9310384696344
2020-06-01,416.58,414.13984666460493
2020-07-01,414.58,414.3419191113574
2020-08-01,412.75,414.55072730632156
2020-09-01,411.5,414.75953550130026
2020-10-01,411.49,414.96160794805047
2020-11-01,413.1,415.17041614301553
2020-12-01,414.23,415.3724885897689
2021-01-01,415.49,415.5812967847431
2021-02-01,416.72,415.79010497970904
2021-03-01,417.61,415.97870593001454
2021-04-01,419.01,416.18751412498005
2021-05-01,419.09,416.3895865717339
2021-06-01,418.93,416.59839476670396
2021-07-01,416.9,416.80046721344917
2021-08-01,414.42,417.00927540842196
2021-09-01,413.26,417.21808360339384
2021-10-01,413.9,417.42015605014905
2021-11-01,414.97,417.62896424511047
2021-12-01,416.67,417.83103669186613
2022-01-01,418.13,418.039844886843
2022-02-01,419.24,418.24865308181444
2022-03-01,418.76,418.4372540321045
2022-04-01,420.19,418.64606222708545
2022-05-01,420.97,418.84813467382793
2022-06-01,420.94,419.0569428688062
2022-07-01,418.85,419.2590153155573
2022-08-01,417.15,419.46782351053326
2022-09-01,415.91,419.6766317054988
2022-10-01,415.74,419.87870415224035
2022-11-01,417.47,420.0875123472204
2022-12-01,418.99,420.28958479396744
2023-01-01,419.47,420.4983929889375
2023-02-01,420.31,420.70720118390847
2023-03-01,420.99,420.8958021342199
2023-04-01,423.31,421.10461032917675
2023-05-01,424.0,421.3066827759324
2023-06-01,423.68,421.5154909709052
2023-07-01,421.83,421.7175634176518
2023-08-01,419.68,421.92637161263
2023-09-01,418.5,422.1351798075928
2023-10-01,418.82,422.33725225434847
2023-11-01,420.46,422.5460604493217
2023-12-01,421.86,422.74813289607374
2024-01-01,422.8,422.95694109103425
2024-02-01,424.55,423.1657492860093
2024-03-01,425.38,423.3610859845442
2024-04-01,426.51,423.56989417951064
2024-05-01,426.9,423.77196662626494
2024-06-01,426.91,423.98077482122955
2024-07-01,425.55,424.182847267972
2024-08-01,422.99,424.3916554629498
2024-09-01,422.03,424.6004636579258
2024-10-01,422.38,424.80253610466735
2024-11-01,423.85,425.01134429963923
2024-12-01,425.4,425.21341674639535
2025-01-01,426.65,425.42222494135814
2025-02-01,427.09,425.63103313634184
2025-03-01,428.15,425.8196340866337
2025-04-01,429.64,426.0284422816106
2025-05-01,,426.2334784575808
2025-06-01,,426.43851463354923
2025-07-01,,426.64355080950855
2025-08-01,,426.8485869854788
2025-09-01,,427.0536231614363
2025-10-01,,427.2586593374088
2025-11-01,,427.46369551337403
2025-12-01,,427.66873168934654
2026-01-01,,427.8737678653086
2026-02-01,,428.07880404126564
2026-03-01,,428.2838402172477
2026-04-01,,428.48887639321794
