Date,Value,MovingAvg,RMA,RMA_Pred
2010-01-01,388.91,,,
2010-02-01,390.41,,,
2010-03-01,391.37,,,
2010-04-01,392.67,,,
2010-05-01,393.21,,,
2010-06-01,392.38,,,
2010-07-01,390.41,,,
2010-08-01,388.54,,,
2010-09-01,387.03,,,
2010-10-01,387.43,,,
2010-11-01,388.87,,,
2010-12-01,389.99,390.10166666666663,99.97137498344449,389.3853821832738
2011-01-01,391.5,390.3175,100.30295848892249,390.57510910674796
2011-02-01,392.05,390.45416666666665,100.40871207674824,391.3009737204626
2011-03-01,392.8,390.5733333333333,100.57010207216742,391.9365254784836
2011-04-01,393.44,390.63749999999993,100.71741704265465,393.23942083980825
2011-05-01,394.41,390.73749999999995,100.9398893118782,393.8508109447807
2011-06-01,393.95,390.86833333333334,100.78841553634857,393.19632250533226
2011-07-01,392.72,391.06083333333333,100.42427329081367,391.45693158127824
2011-08-01,390.33,391.21000000000004,99.77505687482426,389.4000797282299
2011-09-01,389.28,391.39750000000004,99.45898990157063,388.1155277494987
2011-10-01,389.19,391.5441666666667,99.39874811909256,388.3181933182085
2011-11-01,390.48,391.67833333333334,99.6940516665461,389.78678957266516
2011-12-01,392.06,391.8508333333333,100.05337915575869,391.13133712066775
2012-01-01,393.31,392.00166666666667,100.33375708436614,392.26038732150215
2012-02-01,394.04,392.1675,100.47747454850287,393.0180228874994
2012-03-01,394.59,392.31666666666666,100.57946386847358,393.68594345227643
2012-04-01,396.38,392.56166666666667,100.97267096040112,395.1764038114873
2012-05-01,396.93,392.77166666666665,101.05871519924638,395.9011854065703
2012-06-01,395.91,392.93499999999995,100.75712267932357,395.2752981190581
2012-07-01,394.56,393.0883333333333,100.37438574027043,393.48648519833534
2012-08-01,392.59,393.27666666666664,99.82539857437088,391.4571850291466
2012-09-01,391.32,393.44666666666666,99.45947777758951,390.1475116080569
2012-10-01,391.27,393.62,99.40297749098114,390.37692364355627
2012-11-01,393.2,393.84666666666664,99.83580750545899,391.9446513096944
2012-12-01,394.57,394.0558333333333,100.13048066369615,393.33228841382834
2013-01-01,395.78,394.26166666666666,100.3851080289317,394.5218789189356
2013-02-01,397.03,394.5108333333333,100.63855449681355,395.3664383824933
2013-03-01,397.66,394.76666666666665,100.73292240141858,396.1444945244326
2013-04-01,398.64,394.955,100.93301768555911,397.58567843022365
2013-05-01,400.02,395.2125,101.21643419679287,398.3614667660875
2013-06-01,398.81,395.4541666666666,100.84860234540456,397.80946879659575
2013-07-01,397.51,395.69999999999993,100.45741723527925,396.10079717361566
2013-08-01,395.39,395.9333333333333,99.86277151035529,394.10156071435745
2013-09-01,393.72,396.1333333333333,99.39077751598789,392.8116498593751
2013-10-01,393.9,396.35249999999996,99.38123261490719,393.0869102902104
2013-11-01,395.36,396.5325,99.70431175250451,394.6175138686665
2013-12-01,397.03,396.73749999999995,100.07372633038219,396.00903114300104
2014-01-01,398.04,396.92583333333334,100.28069895509446,397.1878039325768
2014-02-01,398.27,397.0291666666667,100.31252951609346,397.89023341303096
2014-03-01,399.91,397.2166666666667,100.67805144127891,398.60304559658886
2014-04-01,401.51,397.4558333333333,101.02002947916644,400.1031690746623
2014-05-01,401.96,397.6175,101.09212999930837,400.7856292801083
2014-06-01,401.43,397.8358333333333,100.90342959721661,400.20532053209126
2014-07-01,399.27,397.98249999999996,100.32350668685181,398.38560907543217
2014-08-01,397.18,398.13166666666666,99.7609668493254,396.28972353041337
2014-09-01,395.54,398.2833333333333,99.31121061221076,394.9436215369188
2014-10-01,396.16,398.4716666666667,99.41986674083896,395.18861692102524
2014-11-01,397.4,398.64166666666665,99.6885256182453,396.7164946743625
2014-12-01,399.08,398.8125,100.06707412631248,398.08022113543115
2015-01-01,400.18,398.99083333333334,100.29804360584724,399.2541668302318
2015-02-01,400.55,399.18083333333334,100.34299408998011,400.0465665595723
2015-03-01,401.74,399.3333333333333,100.60267111853089,400.7270999242339
2015-04-01,403.35,399.4866666666667,100.96707441216228,402.1475291881234
2015-05-01,404.15,399.6691666666666,101.12113560590738,402.8536431780706
2015-06-01,402.97,399.79749999999996,100.7935267229035,402.17867077189396
2015-07-01,401.46,399.97999999999996,100.37001850092504,400.385132306047
2015-08-01,399.11,400.14083333333326,99.74238236954075,398.2895948531998
2015-09-01,397.82,400.3308333333333,99.37281040472776,396.97395270425403
2015-10-01,398.49,400.525,99.49191685912241,397.2250326262267
2015-11-01,400.27,400.76416666666665,99.87669389936309,398.8287444223308
2015-12-01,402.06,401.01249999999993,100.26121380256228,400.27618160933287
2016-01-01,402.73,401.22499999999997,100.3751012524145,401.4898080443612
2016-02-01,404.25,401.5333333333333,100.67657313631082,402.4041686016662
2016-03-01,405.06,401.80999999999995,100.80883999900452,403.212410735951
2016-04-01,407.6,402.16416666666663,101.35164536870309,404.84286322363863
2016-05-01,407.9,402.4766666666667,101.34749012365106,405.68351272406375
2016-06-01,406.99,402.8116666666666,101.03729203473917,405.2107896407837
2016-07-01,404.59,403.0725,100.3764831388894,403.480764641805
2016-08-01,402.45,403.3508333333333,99.77666258282183,401.48474389317226
2016-09-01,401.23,403.635,99.40416465370943,400.25041305365744
2016-10-01,401.79,403.90999999999997,99.47513059840065,400.58214325712316
2016-11-01,403.72,404.1975,99.88186468248816,402.2454970574425
2016-12-01,404.64,404.41249999999997,100.05625444317374,403.6699387053629
2017-01-01,406.36,404.715,100.40645886611568,404.98211144039794
2017-02-01,406.65,404.91499999999996,100.42848499067706,405.7931693408857
2017-03-01,407.53,405.1208333333333,100.5946785424102,406.534799650807
