Date,Value,SarimaPred
2019-02-01,411.96,411.5314809660465
2019-03-01,412.18,412.6751603146855
2019-04-01,413.54,413.770246048488
2019-05-01,414.86,414.4120525915001
2019-06-01,414.15,413.89586347278527
2019-07-01,411.96,412.2367191623947
2019-08-01,410.17,409.97364426959086
2019-09-01,408.76,408.67609853286206
2019-10-01,408.74,409.05669797526224
2019-11-01,410.47,410.4924895223826
2019-12-01,411.97,411.92220813119263
2020-01-01,413.59,413.2136209969782
2020-02-01,414.32,414.2015491708379
2020-03-01,414.72,415.0859583718702
2020-04-01,416.42,416.28923073401546
2020-05-01,417.28,417.2119975748917
2020-06-01,416.58,416.4434804790485
2020-07-01,414.58,414.6935025252586
2020-08-01,412.75,412.5777137681607
2020-09-01,411.5,411.25731090647366
2020-10-01,411.49,411.6818046208365
2020-11-01,413.1,413.18289807180724
2020-12-01,414.23,414.5755308034772
2021-01-01,415.49,415.6785578436783
2021-02-01,416.72,416.3658869988052
2021-03-01,417.61,417.407630605224
2021-04-01,419.01,418.97136494456066
2021-05-01,419.09,419.78031504132593
2021-06-01,418.93,418.57130447349385
2021-07-01,416.9,417.01009636259874
2021-08-01,414.42,414.9145823718377
2021-09-01,413.26,413.2218300992004
2021-10-01,413.9,413.5589598089622
2021-11-01,414.97,415.40630496336286
2021-12-01,416.67,416.5085659195231
2022-01-01,418.13,417.9276494204026
2022-02-01,419.24,418.85638040616806
2022-03-01,418.76,419.8796704510891
2022-04-01,420.19,420.637580008703
2022-05-01,420.97,421.20341053660286
2022-06-01,420.94,420.41793802594924
2022-07-01,418.85,418.90628228200563
2022-08-01,417.15,416.76232972014753
2022-09-01,415.91,415.60547756640653
2022-10-01,415.74,416.05482018689503
2022-11-01,417.47,417.39975860352024
2022-12-01,418.99,418.8936304470394
2023-01-01,419.47,420.2561563486619
2023-02-01,420.31,420.62673726900886
2023-03-01,420.99,421.18880801061044
2023-04-01,423.31,422.58182159718797
2023-05-01,424.0,423.7841638898027
2023-06-01,423.68,423.19836920806904
2023-07-01,421.83,421.5598587186493
2023-08-01,419.68,419.6391075291245
2023-09-01,418.5,418.25439118085774
2023-10-01,418.82,418.63706254160724
2023-11-01,420.46,420.3113852981502
2023-12-01,421.86,421.8111950766678
2024-01-01,422.8,423.031602901491
2024-02-01,424.55,423.72604693007395
2024-03-01,425.38,424.9187422851875
2024-04-01,426.51,426.6658006564007
2024-05-01,426.9,427.24262478509644
2024-06-01,426.91,426.4215709624843
2024-07-01,425.55,424.86580024082446
2024-08-01,422.99,423.1884930089899
2024-09-01,422.03,421.64401070381507
2024-10-01,422.38,422.13661843271586
2024-11-01,423.85,423.8394425303354
2024-12-01,425.4,425.2443926385424
2025-01-01,426.65,426.51930753802526
2025-02-01,427.09,427.5161538537061
2025-03-01,428.15,427.9487848016438
2025-04-01,429.64,429.60579723673015
2025-05-01,,430.31367454912794
2025-06-01,,429.75214076785346
2025-07-01,,427.92719561496733
2025-08-01,,425.833368717334
2025-09-01,,424.52438418615094
2025-10-01,,424.7974423535568
2025-11-01,,426.3817014838745
2025-12-01,,427.8274181519931
2026-01-01,,429.0289115340751
2026-02-01,,429.9056954234322
2026-03-01,,430.64285691048394
2026-04-01,,432.1457907564112
