Date,Value,ArimaPred
2021-04-01,419.01,418.64404492189857
2021-05-01,419.09,419.56085372384024
2021-06-01,418.93,418.3173053907151
2021-07-01,416.9,416.8567355433814
2021-08-01,414.42,414.49138006210484
2021-09-01,413.26,412.9707265369348
2021-10-01,413.9,413.39663330197675
2021-11-01,414.97,415.1592261448757
2021-12-01,416.67,416.3267501190743
2022-01-01,418.13,417.5553086405448
2022-02-01,419.24,418.74948005020906
2022-03-01,418.76,420.0748003443285
2022-04-01,420.19,419.74042995111097
2022-05-01,420.97,420.702229313943
2022-06-01,420.94,420.2304614932933
2022-07-01,418.85,418.9263055819694
2022-08-01,417.15,416.47301150537737
2022-09-01,415.91,415.70945005336137
2022-10-01,415.74,416.0064500154073
2022-11-01,417.47,416.9273380806706
2022-12-01,418.99,418.8268775458195
2023-01-01,419.47,419.90829698286865
2023-02-01,420.31,420.0817688154564
2023-03-01,420.99,421.11199907644703
2023-04-01,423.31,421.9910834861574
2023-05-01,424.0,423.8844178477446
2023-06-01,423.68,423.29581829515035
2023-07-01,421.83,421.64653261317386
2023-08-01,419.68,419.41523856897356
2023-09-01,418.5,418.1912000780061
2023-10-01,418.82,418.5814653609759
2023-11-01,420.46,420.03263544345396
2023-12-01,421.86,421.8233456164609
2024-01-01,422.8,422.74847803543116
2024-02-01,424.55,423.3909273778748
2024-03-01,425.38,425.38252947576154
2024-04-01,426.51,426.4248938776099
2024-05-01,426.9,427.06525669592907
2024-06-01,426.91,426.156844747044
2024-07-01,425.55,424.8719948425226
2024-08-01,422.99,423.1752973827534
2024-09-01,422.03,421.52198851325664
2024-10-01,422.38,422.1079855534407
2024-11-01,423.85,423.5629290200457
2024-12-01,425.4,425.1799723325748
2025-01-01,426.65,426.29145317937036
2025-02-01,427.09,427.27996793033685
2025-03-01,428.15,427.9108312550425
2025-04-01,429.64,429.18371107733105
2025-05-01,,430.2053037498046
2025-06-01,,429.4904155386895
2025-07-01,,427.45650541738934
2025-08-01,,425.0651534009375
2025-09-01,,423.60491327990616
2025-10-01,,423.69598940389227
2025-11-01,,424.8963866728298
2025-12-01,,426.23690976139727
2026-01-01,,427.1305262364313
2026-02-01,,427.7561949051284
2026-03-01,,428.593612344806
2026-04-01,,429.645390074435
