Date,Value,ExpSmooth
2019-04-01,413.54,411.46636977232026
2019-05-01,414.86,412.48445884062414
2019-06-01,414.15,412.98412118843686
2019-07-01,411.96,412.6768848319058
2019-08-01,410.17,411.924819382334
2019-09-01,408.76,410.97537356763377
2019-10-01,408.74,410.30476149734363
2019-11-01,410.47,410.3543330481405
2019-12-01,411.97,410.83903313369836
2020-01-01,413.59,411.6643231935888
2020-02-01,414.32,412.4610262355121
2020-03-01,414.72,413.13871836485845
2020-04-01,416.42,414.1231028554009
2020-05-01,417.28,415.07017199878055
2020-06-01,416.58,415.52312039914636
2020-07-01,414.58,415.24018427940246
2020-08-01,412.75,414.4931289955817
2020-09-01,411.5,413.59519029690716
2020-10-01,411.49,412.963633207835
2020-11-01,413.1,413.0045432454845
2020-12-01,414.23,413.37218027183917
2021-01-01,415.49,414.00752619028736
2021-02-01,416.72,414.82126833320115
2021-03-01,417.61,415.6578878332408
2021-04-01,419.01,416.66352148326854
2021-05-01,419.09,417.39146503828795
2021-06-01,418.93,417.8530255268015
2021-07-01,416.9,417.56711786876104
2021-08-01,414.42,416.62298250813274
2021-09-01,413.26,415.6140877556929
2021-10-01,413.9,415.09986142898504
2021-11-01,414.97,415.0609030002895
2021-12-01,416.67,415.5436321002027
2022-01-01,418.13,416.31954247014187
2022-02-01,419.24,417.19567972909925
2022-03-01,418.76,417.66497581036947
2022-04-01,420.19,418.42248306725855
2022-05-01,420.97,419.186738147081
2022-06-01,420.94,419.71271670295664
2022-07-01,418.85,419.4539016920696
2022-08-01,417.15,418.7627311844487
2022-09-01,415.91,417.90691182911405
2022-10-01,415.74,417.2568382803798
2022-11-01,417.47,417.3207867962658
2022-12-01,418.99,417.82155075738604
2023-01-01,419.47,418.3160855301702
2023-02-01,420.31,418.91425987111916
2023-03-01,420.99,419.53698190978344
2023-04-01,423.31,420.6688873368484
2023-05-01,424.0,421.66822113579383
2023-06-01,423.68,422.27175479505564
2023-07-01,421.83,422.1392283565389
2023-08-01,419.68,421.40145984957724
2023-09-01,418.5,420.53102189470405
2023-10-01,418.82,420.0177153262928
2023-11-01,420.46,420.1504007284049
2023-12-01,421.86,420.6632805098834
2024-01-01,422.8,421.30429635691837
2024-02-01,424.55,422.27800744984285
2024-03-01,425.38,423.20860521488993
2024-04-01,426.51,424.19902365042293
2024-05-01,426.9,425.00931655529604
2024-06-01,426.91,425.57952158870717
2024-07-01,425.55,425.57066511209496
2024-08-01,422.99,424.79646557846644
2024-09-01,422.03,423.96652590492647
2024-10-01,422.38,423.4905681334485
2024-11-01,423.85,423.598397693414
2024-12-01,425.4,424.1388783853898
2025-01-01,426.65,424.89221486977283
2025-02-01,427.09,425.55155040884097
2025-03-01,428.15,426.3310852861886
2025-04-01,429.64,427.323759700332
2025-05-01,,427.323759700332
2025-06-01,,427.323759700332
2025-07-01,,427.323759700332
2025-08-01,,427.323759700332
2025-09-01,,427.323759700332
2025-10-01,,427.323759700332
2025-11-01,,427.323759700332
2025-12-01,,427.323759700332
2026-01-01,,427.323759700332
2026-02-01,,427.323759700332
2026-03-01,,427.323759700332
2026-04-01,,427.323759700332
